[Mon Jun 23 13:57:00.835881 2014] [mpm_winnt:notice] [pid 5620:tid 584] AH00455: Apache/2.4.9 (Win32) PHP/5.4.28 configured -- resuming normal operations
[Mon Jun 23 13:57:00.835881 2014] [mpm_winnt:notice] [pid 5620:tid 584] AH00456: Apache Lounge VC10 Server built: Mar 17 2014 10:48:43
[Mon Jun 23 13:57:00.835881 2014] [core:notice] [pid 5620:tid 584] AH00094: Command line: 'C:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\bin\\httpd_z.exe -d C:/shopping/trunk/ShoppingServer/core/apache2 -f C:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\conf\\httpd.conf -d C:\\shopping\\trunk\\ShoppingServer\\core\\apache2'
[Mon Jun 23 13:57:00.835881 2014] [mpm_winnt:notice] [pid 5620:tid 584] AH00418: Parent: Created child process 5784
[Mon Jun 23 13:57:01.397482 2014] [mpm_winnt:notice] [pid 5784:tid 608] AH00354: Child: Starting 150 worker threads.
[Mon Jun 23 13:59:49.412066 2014] [:error] [pid 5784:tid 1820] [client ::1:49859] PHP Notice:  Undefined variable: salt in C:\\shopping\\trunk\\ShoppingServer\\www\\logincheck.php on line 14, referer: http://localhost/login.php
[Tue Jun 24 08:50:43.734691 2014] [core:warn] [pid 4616:tid 148] AH00098: pid file E:/shopping/trunk/ShoppingServer/core/apache2/logs/httpd.pid overwritten -- Unclean shutdown of previous Apache run?
[Tue Jun 24 08:50:43.762693 2014] [mpm_winnt:notice] [pid 4616:tid 148] AH00455: Apache/2.4.9 (Win32) PHP/5.4.28 configured -- resuming normal operations
[Tue Jun 24 08:50:43.762693 2014] [mpm_winnt:notice] [pid 4616:tid 148] AH00456: Apache Lounge VC10 Server built: Mar 17 2014 10:48:43
[Tue Jun 24 08:50:43.762693 2014] [core:notice] [pid 4616:tid 148] AH00094: Command line: 'E:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\bin\\httpd_z.exe -d E:/shopping/trunk/ShoppingServer/core/apache2 -f E:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\conf\\httpd.conf -d E:\\shopping\\trunk\\ShoppingServer\\core\\apache2'
[Tue Jun 24 08:50:43.763693 2014] [mpm_winnt:notice] [pid 4616:tid 148] AH00418: Parent: Created child process 4008
[Tue Jun 24 08:50:44.092712 2014] [mpm_winnt:notice] [pid 4008:tid 600] AH00354: Child: Starting 150 worker threads.
[Tue Jun 24 08:51:23.538968 2014] [:error] [pid 4008:tid 1796] [client ::1:50954] PHP Notice:  Undefined variable: salt in E:\\shopping\\trunk\\ShoppingServer\\www\\logincheck.php on line 13, referer: http://localhost/login.php
[Tue Jun 24 09:15:53.109022 2014] [:error] [pid 4008:tid 1772] [client ::1:51264] PHP Notice:  Use of undefined constant shopingadd - assumed 'shopingadd' in E:\\shopping\\trunk\\ShoppingServer\\www\\shoping_api.php on line 13, referer: http://localhost/login_user.php
[Tue Jun 24 09:15:53.109022 2014] [:error] [pid 4008:tid 1772] [client ::1:51264] PHP Notice:  Undefined variable: cur_user_id in E:\\shopping\\trunk\\ShoppingServer\\www\\shoping_api.php on line 34, referer: http://localhost/login_user.php
[Tue Jun 24 09:16:07.185827 2014] [:error] [pid 4008:tid 1772] [client ::1:51267] PHP Notice:  Use of undefined constant shopingadd - assumed 'shopingadd' in E:\\shopping\\trunk\\ShoppingServer\\www\\shoping_api.php on line 13, referer: http://localhost/login_user.php
[Tue Jun 24 09:16:08.418898 2014] [:error] [pid 4008:tid 1772] [client ::1:51267] PHP Notice:  Use of undefined constant shopingadd - assumed 'shopingadd' in E:\\shopping\\trunk\\ShoppingServer\\www\\shoping_api.php on line 13, referer: http://localhost/login_user.php
[Tue Jun 24 09:19:07.004112 2014] [:error] [pid 4008:tid 1788] [client ::1:51314] PHP Notice:  Use of undefined constant shopingadd - assumed 'shopingadd' in E:\\shopping\\trunk\\ShoppingServer\\www\\shoping_api.php on line 12, referer: http://localhost/login_user.php
[Tue Jun 24 09:41:34.150165 2014] [:error] [pid 4008:tid 1780] [client ::1:51415] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 09:47:46.290450 2014] [:error] [pid 4008:tid 1780] [client ::1:51428] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:06:01.828111 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/
[Tue Jun 24 10:06:01.829111 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/
[Tue Jun 24 10:06:05.056296 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:06:05.056296 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/index.php
[Tue Jun 24 10:06:09.154530 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Notice:  Undefined variable: salt in E:\\shopping\\trunk\\ShoppingServer\\www\\logincheck.php on line 13, referer: http://localhost/login.php
[Tue Jun 24 10:06:11.627672 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:06:11.627672 2014] [:error] [pid 4008:tid 1808] [client ::1:51616] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:06:35.063012 2014] [:error] [pid 4008:tid 1808] [client ::1:51640] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
